id,rueckkopplung_teilnehmer_id,ue_id,ue_zuweisung_teilnehmer_id,teilnehmer_id,gruppe_id,zeitpunkt,x_kognition,x_sozial,x_affektiv,x_motivation,x_methodik,x_performanz,x_regulation,sum_kognition,sum_sozial,sum_affektiv,sum_motivation,sum_methodik,sum_performanz,sum_regulation,emotion_ids,emotion_valenz,emotion_aktivierung,emotion_anzahl,dominante_dimension,dominante_dimension_wert,polaritaet_gesamt,d_semantisch,drift_norm,d_semantisch_delta,dominanzwechsel,stabilitaet,transition_marker,vector_7d,h_T,h_T_berechnet,dichteklasse,zeitpunkt_iso,kognition,sozial,affektiv,motivation,methodik,performanz,regulation,datum
1,32,10,33,2,1,2025-09-15 15:35:00,0.35037883005881,0.43478232369166,0.37960561839588,0.41381740916116,0.54184544134023,0.27850022896985,0.041168812980594,0.38723404255319,0.4805156658738,0.41953510194286,0.45734551999465,0.59884040555183,0.30779476459204,0.04549922686515,"22,25,12,24,11,20",-0.125,0.50833333333333,6,methodik,0.59884040555183,1,1.1051867549698,0.0,0.0,0,0.97459054785876,Homöostatisch (resilient),"{'kognition': 0.35037883005881, 'sozial': 0.43478232369166, 'affektiv': 0.37960561839588, 'motivation': 0.41381740916116, 'methodik': 0.54184544134023, 'performanz': 0.27850022896985, 'regulation': 0.041168812980594}",1.1051867549698,0.9999999990951759,Leerstelle / geringe Dichte,2025-09-15T15:35:00,0.35037883005881,0.43478232369166,0.37960561839588,0.41381740916116,0.54184544134023,0.27850022896985,0.041168812980594,2025-09-15
3,51,17,47,2,1,2025-09-22 15:35:00,0.29173702516666,0.33819623933473,0.47422663781936,0.47744100792036,0.33062699063322,0.35037366151356,0.33999423700294,0.59998167216877,0.69552894453942,0.97528687345491,0.98189749528827,0.67996214944237,0.72057283506852,0.69922667761567,"3,28,1,23,4,8,13,2",0.8025,0.53125,8,motivation,0.98189749528827,1,2.0565839098903,0.58533517477109,-0.26085448650344,1,0.62309738288248,Perturbativ,"{'kognition': 0.29173702516666, 'sozial': 0.33819623933473, 'affektiv': 0.47422663781936, 'motivation': 0.47744100792036, 'methodik': 0.33062699063322, 'performanz': 0.35037366151356, 'regulation': 0.33999423700294}",2.0565839098903,0.9999999995137597,mittlere Dichte,2025-09-22T15:35:00,0.29173702516666,0.33819623933473,0.47422663781936,0.47744100792036,0.33062699063322,0.35037366151356,0.33999423700294,2025-09-22
4,79,26,75,2,1,2025-09-29 15:35:00,0.24226096398411,0.39195337103443,0.46238416411727,0.46002275864107,0.49370812066963,0.13540207363007,0.31651334135799,0.35783937053428,0.57894736842105,0.68297944295968,0.67949145283827,0.72924750328191,0.2,0.46751623940815,"9,24",0.175,0.75,2,methodik,0.72924750328191,1,1.4770822521597,0.75909950365731,-0.57950165773067,1,0.55803758580245,Perturbativ,"{'kognition': 0.24226096398411, 'sozial': 0.39195337103443, 'affektiv': 0.46238416411727, 'motivation': 0.46002275864107, 'methodik': 0.49370812066963, 'performanz': 0.13540207363007, 'regulation': 0.31651334135799}",1.4770822521597,0.9999999993229953,Leerstelle / geringe Dichte,2025-09-29T15:35:00,0.24226096398411,0.39195337103443,0.46238416411727,0.46002275864107,0.49370812066963,0.13540207363007,0.31651334135799,2025-09-29
6,106,35,102,2,1,2025-10-20 15:35:00,0.43200526575255,0.35822773212263,0.38784650925578,0.3565751095175,0.34048283927313,0.39882649746538,0.36398142665934,0.90181946939331,0.74780742022216,0.80963719868971,0.74435753810493,0.71076460819507,0.83255813953488,0.75981837047088,"22,9,8,14,2",0.474,0.4,5,kognition,0.90181946939331,1,2.0875196217582,0.17946697179101,-0.053455383326573,1,0.84521211559146,Koordinativ,"{'kognition': 0.43200526575255, 'sozial': 0.35822773212263, 'affektiv': 0.38784650925578, 'motivation': 0.3565751095175, 'methodik': 0.34048283927313, 'performanz': 0.39882649746538, 'regulation': 0.36398142665934}",2.0875196217582,0.9999999995209641,mittlere Dichte,2025-10-20T15:35:00,0.43200526575255,0.35822773212263,0.38784650925578,0.3565751095175,0.34048283927313,0.39882649746538,0.36398142665934,2025-10-20
305,107,35,0,40,1,2025-10-20 15:35:00,0.20330684628273,0.34813886449083,0.38745582055616,0.43365990289655,0.36660591649346,0.16466256375736,0.58117903774248,0.33882128274857,0.58019126654188,0.64571498958119,0.72271646165667,0.6109675554988,0.27441860465116,0.96856466309375,"5,23,11",0.77666666666667,0.48333333333333,3,regulation,0.96856466309375,1,1.666551268392,0.0,0.0,0,0.95534072933347,Homöostatisch (resilient),"{'kognition': 0.20330684628273, 'sozial': 0.34813886449083, 'affektiv': 0.38745582055616, 'motivation': 0.43365990289655, 'methodik': 0.36660591649346, 'performanz': 0.16466256375736, 'regulation': 0.58117903774248}",1.666551268392,0.999999999399959,Leerstelle / geringe Dichte,2025-10-20T15:35:00,0.20330684628273,0.34813886449083,0.38745582055616,0.43365990289655,0.36660591649346,0.16466256375736,0.58117903774248,2025-10-20
31,131,44,126,4,1,2025-10-27 15:35:00,0.29135764469925,0.2745094296967,0.48126974545547,0.47410808624029,0.28829072212347,0.31298889778037,0.4497584449087,0.48936170212766,0.46106359043756,0.80833637319432,0.79630771423391,0.48421052631579,0.52569336192625,0.75541027376851,"5,3,1",0.87333333333333,0.5,3,affektiv,0.80833637319432,1,1.6795910824356,0.81982807704857,0.74002600885499,1,0.54291796871448,Kollapsiv,"{'kognition': 0.29135764469925, 'sozial': 0.2745094296967, 'affektiv': 0.48126974545547, 'motivation': 0.47410808624029, 'methodik': 0.28829072212347, 'performanz': 0.31298889778037, 'regulation': 0.4497584449087}",1.6795910824356,0.9999999994046199,Leerstelle / geringe Dichte,2025-10-27T15:35:00,0.29135764469925,0.2745094296967,0.48126974545547,0.47410808624029,0.28829072212347,0.31298889778037,0.4497584449087,2025-10-27
306,130,44,0,40,1,2025-10-27 15:35:00,0.208377631507,0.49624438542547,0.43115301577104,0.35766405096226,0.41011469258785,0.33743740498382,0.33829825824863,0.30435036800518,0.72480025918555,0.62972967908051,0.52239381331546,0.59900171007198,0.49285135665864,0.49410869414754,"15,23,14,25,11",0.166,0.54,5,sozial,0.72480025918555,1,1.4605712023681,0.57917977639239,-0.20598006602389,1,0.62723516110127,Perturbativ,"{'kognition': 0.208377631507, 'sozial': 0.49624438542547, 'affektiv': 0.43115301577104, 'motivation': 0.35766405096226, 'methodik': 0.41011469258785, 'performanz': 0.33743740498382, 'regulation': 0.33829825824863}",1.4605712023681,0.9999999993153321,Leerstelle / geringe Dichte,2025-10-27T15:35:00,0.208377631507,0.49624438542547,0.43115301577104,0.35766405096226,0.41011469258785,0.33743740498382,0.33829825824863,2025-10-27
8,155,51,172,2,1,2025-11-03 15:35:00,0.32549639715559,0.42937910303019,0.45816050838131,0.42313169112966,0.41442736226898,0.2489149971033,0.2950008244428,0.62646078019871,0.82639675964442,0.88179037324212,0.81437279081519,0.79762016099557,0.47906976744186,0.56776802525208,"23,8,13",0.81666666666667,0.58333333333333,3,affektiv,0.88179037324212,1,1.9246319939258,0.58853856432472,-0.24949735617918,1,0.62156696252276,Perturbativ,"{'kognition': 0.32549639715559, 'sozial': 0.42937910303019, 'affektiv': 0.45816050838131, 'motivation': 0.42313169112966, 'methodik': 0.41442736226898, 'performanz': 0.2489149971033, 'regulation': 0.2950008244428}",1.9246319939258,0.9999999994804193,mittlere Dichte,2025-11-03T15:35:00,0.32549639715559,0.42937910303019,0.45816050838131,0.42313169112966,0.41442736226898,0.2489149971033,0.2950008244428,2025-11-03
307,157,51,0,40,1,2025-11-03 15:35:00,0.24663031605827,0.45646349989973,0.48071652235014,0.41913728922378,0.21985063735872,0.29871566250426,0.43183882128096,0.47234042553191,0.87420787204233,0.92065667496224,0.80272161473239,0.42105263157895,0.57209302325581,0.82704728220379,11,0.78,0.45,1,affektiv,0.92065667496224,1,1.9151758503756,0.60212848053046,0.45460464800745,1,0.61046778061845,Perturbativ,"{'kognition': 0.24663031605827, 'sozial': 0.45646349989973, 'affektiv': 0.48071652235014, 'motivation': 0.41913728922378, 'methodik': 0.21985063735872, 'performanz': 0.29871566250426, 'regulation': 0.43183882128096}",1.9151758503756,0.9999999994778538,mittlere Dichte,2025-11-03T15:35:00,0.24663031605827,0.45646349989973,0.48071652235014,0.41913728922378,0.21985063735872,0.29871566250426,0.43183882128096,2025-11-03
308,158,51,0,40,1,2025-11-03 15:35:00,0.24663031605827,0.45646349989973,0.48071652235014,0.41913728922378,0.21985063735872,0.29871566250426,0.43183882128096,0.47234042553191,0.87420787204233,0.92065667496224,0.80272161473239,0.42105263157895,0.57209302325581,0.82704728220379,11,0.78,0.45,1,affektiv,0.92065667496224,1,1.9151758503756,0.0,0.0,0,0.96528860011588,Homöostatisch (resilient),"{'kognition': 0.24663031605827, 'sozial': 0.45646349989973, 'affektiv': 0.48071652235014, 'motivation': 0.41913728922378, 'methodik': 0.21985063735872, 'performanz': 0.29871566250426, 'regulation': 0.43183882128096}",1.9151758503756,0.9999999994778538,mittlere Dichte,2025-11-03T15:35:00,0.24663031605827,0.45646349989973,0.48071652235014,0.41913728922378,0.21985063735872,0.29871566250426,0.43183882128096,2025-11-03
313,156,51,0,43,1,2025-11-03 15:35:00,0.27988558672906,0.27836694545544,0.45730785519749,0.46225602769922,0.4075905429047,0.27948738701015,0.42085810070651,0.41276595744681,0.41052631578947,0.67442241990568,0.68171982019042,0.60110098077749,0.41217870574102,0.62066753389315,"17,16,24",-0.76666666666667,0.85,3,motivation,0.68171982019042,1,1.4747667501953,0.0,0.0,0,0.98625922463554,Homöostatisch (resilient),"{'kognition': 0.27988558672906, 'sozial': 0.27836694545544, 'affektiv': 0.45730785519749, 'motivation': 0.46225602769922, 'methodik': 0.4075905429047, 'performanz': 0.27948738701015, 'regulation': 0.42085810070651}",1.4747667501953,0.9999999993219264,Leerstelle / geringe Dichte,2025-11-03T15:35:00,0.27988558672906,0.27836694545544,0.45730785519749,0.46225602769922,0.4075905429047,0.27948738701015,0.42085810070651,2025-11-03
