id,rueckkopplung_teilnehmer_id,teilnehmer_id,gruppe_id,zeitpunkt,datum,dominante_dimension,dominante_dimension_wert,dominanz_abs,dominanz_luecke_zur_zweiten_dimension,polaritaet_gesamt,d_semantisch,drift_norm,d_semantisch_delta,dominanzwechsel,stabilitaet,transition_marker,emotion_valenz,emotion_aktivierung,emotion_anzahl,x_kognition,x_sozial,x_affektiv,x_motivation,x_methodik,x_performanz,x_regulation
142,2,12,2,2025-09-08 17:10:00,2025-09-08,motivation,1.1497924861416,1.1497924861416,0.7568873238322,1,2.7793358008651,0.0,0.0,0,0.99701599529741,Homöostatisch (resilient),0.9,0.6,1,0.35979819326939,0.35979819326939,0.3929051623094,0.41369325914847,0.35979819326939,0.36749748839497,0.38867054999033
175,4,16,2,2025-09-08 17:10:00,2025-09-08,affektiv,1.0075666873807,1.0075666873807,0.5400046614601801,1,2.1496513820655,0.0,0.0,0,0.97039046032323,Homöostatisch (resilient),0.75,0.6,1,0.27211265129446,0.37705012178935,0.46871166893298,0.46756202592052,0.42622173949022,0.27911502522069,0.29310896359357
235,3,20,2,2025-09-08 17:10:00,2025-09-08,methodik,1.0056790814476,1.0056790814476,0.5711812791511,1,2.238811328924,0.0,0.0,0,0.98388150903577,Homöostatisch (resilient),0.76666666666667,0.46666666666667,3,0.31629415624845,0.30561330343947,0.42686255197004,0.4344978022965,0.4492022476417,0.32351761476725,0.35932190270656
253,1,21,2,2025-09-08 17:10:00,2025-09-08,methodik,1.0041702191629,1.0041702191629,0.60611407478556,1,2.1532964705735,0.0,0.0,0,0.98916204456702,Homöostatisch (resilient),0.80666666666667,0.48333333333333,3,0.33664861261886,0.36663492214503,0.39805614437734,0.36919041910659,0.466340902156,0.29816621812305,0.38874072884966
21,5,3,3,2025-09-09 15:35:00,2025-09-09,affektiv,1.0072407021029,1.0072407021029,0.60917677975334,1,2.5150776645338,0.0,0.0,0,0.99499786973131,Homöostatisch (resilient),0.125,0.575,4,0.35699587043765,0.39760203579548,0.4004809536922,0.36851749614075,0.39694069822942,0.39806392234956,0.31978058947865
36,9,5,4,2025-09-09 17:10:00,2025-09-09,motivation,0.67869251237416,0.67869251237416,0.2559187830434099,1,1.4191988715264,0.0,0.0,0,0.9855279954747,Homöostatisch (resilient),0.075,0.5375,8,0.22750457837574,0.42277372933075,0.3565551170234,0.4782222742088,0.42231239973717,0.26121008800035,0.40877557550161
73,8,8,4,2025-09-09 17:10:00,2025-09-09,motivation,0.38888888888889,0.38888888888889,-0.06043814107383,1,0.84336650747044,0.0,0.0,0,0.99361726484381,Homöostatisch (resilient),,,0,0.24723609036365,0.3744391916356,0.37664177511581,0.46111493044014,0.44932702996272,0.20405484629444,0.44794021814185
87,6,9,4,2025-09-09 17:10:00,2025-09-09,methodik,0.82105263157895,0.82105263157895,0.32720231136857003,1,1.4730126608545,0.0,0.0,0,0.89507802472758,Homöostatisch (resilient),-0.7,0.1,1,0.28599658825355,0.47164349641814,-0.095993343046085,0.010317477320035,0.55739685940326,0.3631222831831,0.49385032021038
176,7,16,4,2025-09-09 17:10:00,2025-09-09,affektiv,0.72041534982553,0.72041534982553,0.27961998810513,1,1.5882547025237,0.79282159705446,-0.56139667954173,0,0.54358990909262,Perturbativ,-0.7,0.1,1,0.37777316111127,0.35789036315804,0.45358930669445,0.4407953617204,0.4307939556532,0.37777316111127,0.029361912374192
47,11,6,5,2025-09-10 15:35:00,2025-09-10,motivation,0.81151778890579,0.81151778890579,0.36889517913425995,1,1.7641541253578,0.0,0.0,0,0.98948291900247,Homöostatisch (resilient),0.80666666666667,0.48333333333333,3,0.35050430717488,0.27447178173455,0.44262260977153,0.46000390599727,0.34472765776455,0.35551073666383,0.38609397874719
129,10,11,5,2025-09-10 15:35:00,2025-09-10,motivation,0.96054949065551,0.96054949065551,0.5193856746168299,1,2.0744955637303,0.0,0.0,0,0.98193710685818,Homöostatisch (resilient),0.82666666666667,0.51666666666667,3,0.2892269379607,0.34504266283031,0.44116381603868,0.46302797990334,0.34504266283031,0.29671151710622,0.42565332362039
64,12,7,6,2025-09-10 17:10:00,2025-09-10,methodik,0.89507506566619,0.89507506566619,0.41819169512955,1,1.6553273028984,0.0,0.0,0,0.95676952020987,Homöostatisch (resilient),-0.15,0.51666666666667,3,0.29562836363249,0.36882513467376,0.43217164178599,0.47688337053664,0.54072391819929,0.18496747414162,0.18917317510453
143,14,12,6,2025-09-10 17:10:00,2025-09-10,sozial,1.0,1.0,0.60675067141768,1,2.5429159744831,0.3239293205924,-0.236419826382,1,0.75410350789804,Transformativ,,,0,0.35308769502498,0.39324932858232,0.39324932858232,0.35829383270834,0.39324932858232,0.39324932858232,0.35829383270834
144,15,12,6,2025-09-10 17:10:00,2025-09-10,sozial,1.0,1.0,0.60675067141768,1,2.5429159744831,0.0,0.0,0,0.99785602198652,Homöostatisch (resilient),,,0,0.35308769502498,0.39324932858232,0.39324932858232,0.35829383270834,0.39324932858232,0.39324932858232,0.35829383270834
